
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
  24731		     59 	  280.0	    45.000	  15.3	   21.0	   44.5	     59	  76.4	  24731	  0.182	   40.8	    0.4	   4932 	 2.59e-002 	 7.29e-005 	 1.944 	 71.4% 	 12.8 	 19.7 	 1.5 	 259.9 	
  25209		     60 	  478.0	   210.000	  15.6	   21.6	   42.5	     60	  77.9	  25209	  0.169	   40.0	    0.4	   5052 	 2.60e-002 	 6.88e-005 	 1.649 	 71.3% 	 12.9 	 20.3 	 1.3 	 255.3 	
  25951		     61 	  742.0	   370.000	  15.2	   21.3	   44.0	     61	  76.3	  25951	  0.183	   40.4	    0.4	   5237 	 2.60e-002 	 4.75e-005 	 1.658 	 71.5% 	 12.9 	 20.3 	 1.6 	 261.4 	
  26307		     62 	  356.0	    90.000	  15.1	   21.5	   44.6	     62	  75.6	  26307	  0.174	   41.7	    0.4	   5326 	 2.60e-002 	 8.40e-005 	 1.567 	 71.9% 	 12.9 	 20.4 	 1.7 	 263.5 	
  26682		     63 	  375.0	   140.000	  15.7	   20.1	   43.6	     63	  78.4	  26682	  0.157	   40.4	    0.4	   5420 	 2.61e-002 	 9.77e-005 	 1.741 	 72.2% 	 13.0 	 19.3 	 1.4 	 254.6 	
  27214		     64 	  532.0	   125.000	  15.4	   20.3	   44.4	     64	  77.0	  27214	  0.186	   40.1	    0.5	   5553 	 2.61e-002 	 3.74e-005 	 1.619 	 71.9% 	 12.8 	 20.4 	 1.5 	 258.0 	
  27695		     65 	  481.0	   210.000	  15.5	   22.5	   41.6	     65	  77.8	  27695	  0.198	   39.1	    0.4	   5673 	 2.62e-002 	 6.25e-005 	 1.814 	 72.6% 	 12.9 	 19.0 	 1.6 	 256.6 	
  27994		     66 	  299.0	    50.000	  15.8	   23.2	   40.4	     66	  78.3	  27994	  0.234	   37.4	    0.4	   5748 	 2.62e-002 	 8.16e-005 	 1.587 	 71.5% 	 13.2 	 18.3 	 1.4 	 253.9 	
  28613		     67 	  619.0	   165.000	  15.4	   22.4	   42.4	     67	  77.0	  28613	  0.199	   39.0	    0.4	   5903 	 2.62e-002 	 5.89e-005 	 1.506 	 71.3% 	 13.1 	 19.3 	 1.4 	 259.3 	
  29077		     68 	  464.0	   140.000	  15.3	   22.2	   42.8	     68	  76.4	  29077	  0.200	   39.0	    0.4	   6019 	 2.63e-002 	 4.56e-005 	 1.608 	 70.3% 	 13.1 	 20.4 	 1.4 	 259.6 	
  29605		     69 	  528.0	   325.000	  15.5	   22.7	   41.3	     69	  77.9	  29605	  0.212	   38.2	    0.4	   6151 	 2.63e-002 	 3.85e-005 	 1.656 	 70.6% 	 12.9 	 19.3 	 1.5 	 256.1 	
  29882		     70 	  277.0	    25.000	  15.4	   21.0	   43.2	     70	  76.8	  29882	  0.227	   39.8	    0.4	   6220 	 2.63e-002 	 6.22e-005 	 1.692 	 69.6% 	 12.6 	 20.5 	 1.4 	 257.5 	
  30388		     71 	  506.0	   210.000	  15.6	   20.8	   43.1	     71	  78.0	  30388	  0.267	   39.8	    0.4	   6346 	 2.64e-002 	 9.11e-005 	 1.595 	 71.4% 	 12.9 	 18.9 	 1.5 	 255.8 	
  30997		     72 	  609.0	   640.000	  15.7	   21.7	   42.1	     72	  78.4	  30997	  0.243	   38.9	    0.4	   6499 	 2.64e-002 	 5.23e-005 	 1.780 	 70.7% 	 12.9 	 18.7 	 1.5 	 253.9 	
  31382		     73 	  385.0	   110.000	  15.5	   20.4	   43.7	     73	  77.7	  31382	  0.221	   40.5	    0.4	   6595 	 2.65e-002 	 5.95e-005 	 1.560 	 71.1% 	 12.8 	 18.7 	 1.6 	 255.9 	
  32173		     74 	  791.0	   175.000	  15.7	   21.3	   42.5	     74	  78.3	  32173	  0.247	   39.3	    0.4	   6793 	 2.65e-002 	 6.92e-005 	 1.591 	 69.1% 	 13.0 	 17.8 	 1.5 	 254.7 	
  32550		     75 	  377.0	   125.000	  15.6	   22.2	   41.6	     75	  78.0	  32550	  0.239	   38.7	    0.4	   6887 	 2.66e-002 	 6.43e-005 	 1.715 	 69.2% 	 13.0 	 18.1 	 1.6 	 255.4 	
  32831		     76 	  281.0	   105.000	  15.7	   21.3	   41.6	     76	  79.1	  32831	  0.288	   38.5	    0.4	   6957 	 2.66e-002 	 8.12e-005 	 1.539 	 71.3% 	 12.6 	 18.2 	 1.6 	 251.0 	
  33416		     77 	  585.0	   200.000	  15.6	   19.1	   44.7	     77	  78.2	  33416	  0.260	   41.8	    0.4	   7103 	 2.67e-002 	 7.68e-005 	 1.746 	 69.9% 	 12.9 	 18.5 	 1.5 	 254.4 	
  33746		     78 	  330.0	   130.000	  15.2	   21.3	   45.1	     78	  75.2	  33746	  0.242	   41.1	    0.5	   7186 	 2.67e-002 	 5.81e-005 	 1.548 	 70.3% 	 13.1 	 18.9 	 1.4 	 263.6 	
  34376		     79 	  630.0	   225.000	  15.5	   21.1	   43.4	     79	  77.6	  34376	  0.259	   40.1	    0.5	   7343 	 2.68e-002 	 1.17e-004 	 1.520 	 68.9% 	 13.1 	 18.6 	 1.7 	 257.3 	
  34702		     80 	  326.0	    50.000	  15.0	   24.6	   42.0	     80	  74.9	  34702	  0.245	   39.5	    0.5	   7425 	 2.68e-002 	 6.50e-005 	 1.747 	 68.9% 	 13.2 	 17.9 	 1.3 	 264.8 	
